question_text,answer,difficulty_level,point,category_id,type_question
تلمح'   في منطقة الباحة يعني؟,انظر أو دقق,2,200,7,text
لمنطقة عسير، 'يا غديت' يعني؟,اين ذهبت,3,300,7,text
في النجدية، 'الهُبال' هو؟,الجنون,2,200,7,text
في الجنوبية، 'العُكَّة' هي؟,وعاء قديم,4,300,7,text
'الهَبَاب' في الشرقية يقصد به؟,الغبار الناعم,3,300,7,text
في النجدية القديمة، 'يِسْتَنْهِر' تعني؟,يستعجل,3,300,7,text
ما معنى 'مِهْذار' في الحجازية؟,ثرثار,3,300,7,text
في الحجازية، 'مِدَوَّخ' تعني؟,دائخ,3,300,7,text
لمنطقة عسير 'هدرجة' هي؟,صخب أو ضوضاء,4,300,7,text
ما مرادف 'البايجة' في نجران؟,النافذة,5,400,7,text
في النجدية، 'مِهْذار' تعني؟,كثير الكلام,5,400,7,text
في النجدية، 'الهُدُود' هي؟,الحدود,5,400,7,text
في الجنوبية، 'الهُرَيم' هو؟,الصغير,5,400,7,text
'الخَبْط' في لهجة البادية يعني؟,المشي بغير نظام,6,500,7,text
ما معنى 'القحم' في الباحة؟,كبير السن,6,500,7,text
في الجنوبية، 'مِدْعَر' تعني؟,متدحرج,6,500,7,text
في الحجازية، 'الهُتَاف' هو؟,الصياح,6,500,7,text
في جازان، 'يكايد' هو؟,يعاند,3,300,7,text
