question_text,answer,difficulty_level,point,category_id,type_question
ما معنى 'اللي ما يقدر على البارد لا يغصّ عليه'؟,من لا يستطيع الشيء البسيط لا يطلب منه الصعب,3,200,8,text
في أي موقف يقال 'أكلت يوم أكل الثور الأبيض'؟,في اليوم المشهود أو المصيري,3,200,8,text
ما معنى 'الصاحب ساحب'؟,الرفيق يؤثر على رفيقه,3,200,8,text
ما قصة المثل 'اللي ما يعرف الصقر يشويه'؟,من لا يعرف قيمة الشيء يضيعه,4,300,8,text
من أين أتى المثل 'وعلى شان نورة تسكر الباب'؟,اتخاذ إجراء مبالغ فيه بسبب حدث بسيط,4,300,8,text
ما المغزى من 'اللي إيده في الجرة هو اللي يدري بشدّتها'؟,من يعيش التجربة هو من يعرف صعوبتها,4,300,8,text
متى يستخدم 'الطيب يذكّر والخلّ يندكّر'؟,الأفعال الطيبة تذكر والسيئة تنسى,4,300,8,text
ما معنى 'اللي يستر على الميت يشيّعوه'؟,من يبدأ عمل يجب أن يكمله,4,300,8,text
ما أصل المثل 'أبعد من مكة منجّل'؟,شيء نادر أو بعيد جداً,5,400,8,text
في أي سياق يقال 'أحلى من قمر وأطيب من زهر'؟,وصف شخص جميل وطيب,5,400,8,text
ما قصة 'البارحه تغسل التي قبلها'؟,المصيبة الجديدة تنسي القديمة,5,400,8,text
ماذا يعني 'التعب على راس والحمدلله على السلامه'؟,الرضا بما حدث رغم التعب,5,400,8,text
