question_text,answer,image_path,difficulty_level,point,category_id,type_question
ما اسم هذه الشركة؟ شاهد الشعار ثم أجب,البيك,https://upload.wikimedia.org/wikipedia/ar/a/a1/Albaik_logo.svg,1,200,3,image
"أي شركة تحمل هذه الألوان؟:البنفسجي في مجال الاتصالات
",stc (إس تي سي),,5,600,3,text
ما اسم هذه الشركة؟ شاهد الشعار ثم أجب,موبايلي,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyZcdUriZZ7LCAfnVK4qYTJIcrtpVPDEAPAw&s,2,200,3,image
أي شركة تحمل هذه الألوان: الاخضر في مجال الاتصالات,زين السعودية,,4,400,3,text
ما اسم هذه الشركة؟ شاهد الشعار ثم أجب,أرامكو السعودية,https://cdn4.premiumread.com/?url=https://www.al-madina.com/uploads/images/2020/03/10/1751413.jpg&w=800&q=100&f=jpg,1,200,3,image
أي شركة تحمل هذه الألوان:الاصفر و الاسود في مجال التوصيل,نون,,4,400,3,text
ما اسم هذه الشركة؟ شاهد الشعار ثم أجب,إكسترا,https://sa.wi.sa/wp-content/uploads/2025/01/7nmLKagv_400x400.jpg,3,400,3,image
أي شركة تحمل هذه الألوان:الازرق  في مجال الماليه,الراجحي,,1,200,3,text
ما اسم هذه الشركة؟ شاهد الشعار ثم أجب,سعودية (الخطوط السعودية),https://cdn.salla.sa/vrZvz/bb449ff9-c864-41c7-9d65-1ae014307a11-1000x1000-ZA1REWcKQ2CqqVNcT4OCMZBrS7LMz5PQ4Sz66iyg.jpg,2,200,3,image
أي شركة تحمل هذه الألوان:الاصفر و البني في مجال التوصيل,هنقرستيشن,,6,600,3,text
