question_text,answer,image_path,difficulty_level,point,category_id,type_question
ما اسم هذا الطبق؟ ,كبسة,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSF2cfENAKM6DGyonmsX_UkwZMSENLxV-ZAPQ&s,1,200,1,image
ما اسم هذا الطبق؟,جريش,https://www.lazezh.com/wp-content/uploads/gcMigration/recipes/l/lazezh_1c3f2e804b.jpg,1,200,1,image
ما اسم هذا الطبق؟ ,مطازيز,https://najdvillage.com/wp-content/uploads/2020/07/%D9%85%D8%B7%D8%A7%D8%B2%D9%8A%D8%B2-Matazeez.png,3,400,1,image
ما اسم هذا الطبق؟ ,قرصان,https://saudipedia.com/saudipedia/uploads/images/2023/09/10/67427.jpg,6,600,1,image
ما اسم هذا الطبق؟ ,سليق,https://najdvillage.com/wp-content/uploads/2020/07/%D8%B3%D9%84%D9%8A%D9%82-%D9%86%D8%B5%D9%81-%D8%AF%D8%AC%D8%A7%D8%AC%D8%A9-Half-Chicken-Saleek_1-1.png,1,200,1,image
ما اسم هذا الطبق؟ ,مندي,https://i.pinimg.com/736x/0c/29/14/0c2914c9ed2c3fe1dbb6746da415576f.jpg,2,200,1,image
ما اسم هذا الطبق؟ ,كليجا,https://media.zid.store/017ea808-fbae-482e-aca3-b5a0e8f2dad0/9c506e4e-bdf4-4ece-9cef-7384823f9fe3.jpg,1,200,1,image
ما اسم هذا الطبق؟,عريكة,https://cdn.salla.sa/KVzVj/f1465ede-f11a-472c-8026-a2ce6d964469-500x500-1AaZYmjqG1qDxz6sOandztbS2ZGJhUVTAhKZIkYx.jpg,3,400,1,image
ما اسم هذا الطبق؟ ,لقيمات,https://modo3.com/thumbs/fit630x300/161060/1488284569/%D8%B9%D9%85%D9%84_%D8%A7%D9%84%D9%84%D9%82%D9%8A%D9%85%D8%A7%D8%AA_%D8%A8%D8%A7%D9%84%D9%84%D8%A8%D9%86.jpg,1,200,1,image
ما اسم هذا الطبق؟ ,مفطح,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmNQXTJkvaabteEA_fhOFdJPNRPdW2kHAtfg&s,3,200,1,image
