question_text,answer,difficulty_level,point,category_id,type_question
ما اسم الأغنية التي تحتوي على هذه الكلمات: «المشاعر في غيابك ذاب فيها كل صوت»؟,الأماكن,1,200,5,text
من هو/هي مؤدي أغنية «بنت النور»؟,محمد عبده,1,200,5,text
ما اسم الأغنية التي تحتوي على هذه الكلمات: «مقادير يا قلبي العنا»؟,مقادير,1,200,5,text
من هو/هي مؤدي أغنية «أبرحل عنك»؟,عبدالمجيد عبدالله,2,200,5,text
ما اسم الأغنية التي تحتوي على هذه الكلمات: «انت غير الناس عندي»؟,غير الناس,3,400,5,text
من هو/هي مؤدي أغنية «صدفه»؟,رابح صقر,4,400,5,text
ما اسم الأغنية التي تحتوي على هذه الكلمات: «لحظه عناد وأثرت حيل فينا»؟,لحظة عناد,1,200,5,text
من هو/هي مؤدي أغنية «زمان أول»؟,عبادي الجوهر,5,600,5,text
ما اسم الأغنية التي تحتوي على هذه الكلمات: «ناديت والليل جاوبني وبكاني»؟,ناديت,5,600,5,text
من هو/هي مؤدي أغنية «الحي يحييك»؟,أصيل أبو بكر,5,600,5,text
ما اسم الأغنية التي تحتوي على هذه الكلمات: «تقوى الهجر وش لي بقى عندك»؟,تقوى الهجر,2,200,5,text
من هو/هي مؤدي أغنية «شدني لك»؟,إبراهيم الحكمي,6,600,5,text
"من هو الشاعر صاحب هاذه الابيات: يا من هواه أعزه وأذلني
كيف السبيل إلى وصالك دلني",حسن القرشي,3,400,5,text
"من هو الشاعر صاحب هاذه الابيات:ارفع راسك انت سعودي *
طيبك جاوز كل حدودي",خالد الفيصل,1,200,5,text
ما هو اسم القصيدة التي منها هاذه الابيات: يا بنت أنا للشمس في جلدي حروق / وعلى سموم القيظ تزهر حياتي,رسالة من بدوي,5,600,5,text
ما هو اسم القصيد التي منها هاذه الابيات: فديت الوسيعات المظاليل / رماح الهلاك المستشره,تناديك,6,600,5,text
متى توفي الشاعر غازي القصيبي,١٤٣١ه,2,200,5,text
"من هو الشاعر صاحب هاذه الابيات:قد كنتَ لي وطنًا إذا ضاقتْ بي الأوطانُ
واليومَ لا وطنٌ يضيقُ ولا مكانُ",غازي القصيبي,4,400,5,text
من هو الشاعر صاحب قصيدة: يا سائلًا عن موطني وبلادي,حمود الغانم,6,600,5,text
"ما هو اسم القصيدة التي منها هاذه الابيات: 
ياللي نسيت الزمن وقلوبنا تعده / كم ليلةٍ غبت والهاجوس يلعب بي
",اللوعة,5,600,5,text
من هو الشاعر صاحب قصيدة الحزن الآخر,محمد العلي,3,400,5,text
من هو الشاعر صاحب قصيدة مجموعة انسان,خالد الفيصل,2,200,5,text
