question_text,answer,image_path,difficulty_level,point,category_id,type_question
صوّر الباركود,قطار,https://api.qrcode-monkey.com/tmp/2d8e235c7019b072ba20646b1c8624b1.svg?1759306540775,1,200,2,image
صوّر الباركود,مستشفى,https://api.qrcode-monkey.com/tmp/010f2bbb2e60e9c21d1d91fdf1526dbb.svg?1759306655395,1,200,2,image
صوّر الباركود,مطر,https://api.qrcode-monkey.com/tmp/6f8e0d025a9451177fce25defa85f1c6.svg?1759306698564,3,400,2,image
صوّر الباركود,أسد,https://api.qrcode-monkey.com/tmp/89ce34ab6c58e4acff495c3b038ee557.svg?1759306731556,6,600,2,image
صوّر الباركود,مدرسة,https://api.qrcode-monkey.com/tmp/17f440d84a3c5838a8e85b74bc1fd7ad.svg?1759306749099,1,200,2,image
صوّر الباركود,قمر,https://api.qrcode-monkey.com/tmp/44ecbe036d44920d1048b09a2b6446c7.svg?1759306783338,2,200,2,image
صوّر الباركود,جوال,https://api.qrcode-monkey.com/tmp/8ae2ea1545c9af482c17f97f84a7d7b3.svg?1759306818854,1,200,2,image
صوّر الباركود,بحر,https://api.qrcode-monkey.com/tmp/e9437a0d55e3d16734f17e215f15a92e.svg?1759306873626,3,400,2,image
صوّر الباركود,طيارة,https://api.qrcode-monkey.com/tmp/dbcdbf7cf627a5f9ccec94942a710f1b.svg?1759306916169,1,200,2,image
صوّر الباركود,كرة قدم,https://api.qrcode-monkey.com/tmp/9b3be912586491ee243ffb836bb92fb2.svg?1759306968533,3,400,2,image
